"name","beerConsumption","pop2020"
"Iceland",75,"341.2430"
"Panama",75,"4314.7670"
"Bulgaria","76.3000","6948.4450"
"Finland","76.9000","5540.7200"
"Gabon","77.8000","2225.7340"
"Croatia","78.7000","4105.2670"
"Slovakia","80.1000","5459.6420"
"Slovenia","80.3000","2078.9380"
"Spain","84.8000","46754.7780"
"Belize",85,"397.6280"
"Lithuania","88.7000","2722.2890"
"Estonia","89.5000","1326.5350"
"Seychelles",90,"98.3470"
"Romania","94.1000","19237.6910"
"Ireland","98.2000","4937.7860"
"Poland","100.8000","37846.6110"
"Germany","104.2000","83783.9420"
"Austria",106,"9006.3980"
"Namibia",108,"2540.9050"
"Czech Republic","143.3000","10708.9810"