Code,Country,EPI,Year
AGO,Angola,39.3,2006
ALB,Albania,68.9,2006
ARE,United Arab Em.,73.2,2006
ARG,Argentina,77.7,2006
ARM,Armenia,63.8,2006
AUS,Australia,80.1,2006
AUT,Austria,85.2,2006
AZE,Azerbaijan,55.7,2006
BDI,Burundi,51.6,2006
BEL,Belgium,75.9,2006
BEN,Benin,58.4,2006
BFA,Burkina Faso,43.2,2006
BGD,Bangladesh,43.5,2006
BGR,Bulgaria,72,2006
BOL,Bolivia,63.4,2006
BRA,Brazil,77,2006
CAF,Central Afr. Rep.,57.3,2006
CAN,Canada,84,2006
CHE,Switzerland,81.4,2006
CHL,Chile,78.9,2006
CHN,China,56.2,2006
CIV,C“te d'Ivoire,57.5,2006
CMR,Cameroon,54.1,2006
COD,Dem. Rep. Congo,46.3,2006
COG,Congo,49.4,2006
COL,Colombia,80.4,2006
CRI,Costa Rica,81.6,2006
CUB,Cuba,75.3,2006
CYP,Cyprus,78.4,2006
CZE,Czech Rep.,86,2006
DEU,Germany,79.4,2006
DNK,Denmark,84.2,2006
DOM,Dominican Rep.,69.5,2006
DZA,Algeria,66.2,2006
ECU,Ecuador,75.5,2006
EGY,Egypt,57.9,2006
ESP,Spain,79.2,2006
ETH,Ethiopia,36.7,2006
FIN,Finland,87,2006
FRA,France,82.5,2006
GAB,Gabon,73.3,2006
GBR,United Kingdom,85.6,2006
GEO,Georgia,61.4,2006
GHA,Ghana,63.1,2006
GIN,Guinea,49.2,2006
GMB,Gambia,52.3,2006
GNB,Guinea-Bissau,46.1,2006
GRC,Greece,80.2,2006
GTM,Guatemala,68.9,2006
HND,Honduras,70.8,2006
HTI,Haiti,48.9,2006
HUN,Hungary,77.1,2006
IDN,Indonesia,60.7,2006
IND,India,47.7,2006
IRL,Ireland,83.3,2006
IRN,Iran,70,2006
ISL,Iceland,82.1,2006
ISR,Israel,73.7,2006
ITA,Italy,79.8,2006
JAM,Jamaica,74.7,2006
JOR,Jordan,66,2006
JPN,Japan,81.9,2006
KAZ,Kazakhstan,63.6,2006
KEN,Kenya,56.4,2006
KGZ,Kyrgyzstan,60.5,2006
KHM,Cambodia,49.8,2006
KOR,South Korea,75.2,2006
LAO,Laos,52.9,2006
LBN,Lebanon,76.7,2006
LBR,Liberia,51,2006
LKA,Sri Lanka,64.6,2006
MAR,Morocco,64.1,2006
MDA,Moldova,62.9,2006
MDG,Madagascar,48.6,2006
MEX,Mexico,64.8,2006
MLI,Mali,33.9,2006
MMR,Myanmar,57,2006
MNG,Mongolia,48.8,2006
MOZ,Mozambique,45.7,2006
MRT,Mauritania,32,2006
MWI,Malawi,56.5,2006
MYS,Malaysia,83.3,2006
NAM,Namibia,56.5,2006
NER,Niger,25.7,2006
NGA,Nigeria,44.5,2006
NIC,Nicaragua,69.2,2006
NLD,Netherlands,78.7,2006
NOR,Norway,80.2,2006
NPL,Nepal,60.2,2006
NZL,New Zealand,88,2006
OMN,Oman,67.9,2006
PAK,Pakistan,41.1,2006
PAN,Panama,76.5,2006
PER,Peru,65.4,2006
PHL,Philippines,69.4,2006
PNG,Papua New Guinea,55.5,2006
POL,Poland,76.2,2006
PRT,Portugal,82.9,2006
PRY,Paraguay,66.4,2006
ROU,Romania,56.9,2006
RUS,Russia,77.5,2006
RWA,Rwanda,57,2006
SAU,Saudi Arabia,68.3,2006
SDN,Sudan,44,2006
SEN,Senegal,52.2,2006
SLE,Sierra Leone,49.5,2006
SLV,El Salvador,63,2006
SUR,Suriname,73,2006
SVK,Slovakia,79.1,2006
SVN,Slovenia,77.5,2006
SWE,Sweden,87.8,2006
SWZ,Swaziland,53.9,2006
SYR,Syria,55.3,2006
TCD,Chad,30.5,2006
TGO,Togo,52.8,2006
THA,Thailand,66.8,2006
TJK,Tajikistan,48.2,2006
TKM,Turkmenistan,52.3,2006
TTO,Trinidad & Tobago,76.9,2006
TUN,Tunisia,60,2006
TUR,Turkey,72.8,2006
TWN,Taiwan,79.1,2006
TZA,Tanzania,59,2006
UGA,Uganda,60.8,2006
UKR,Ukraine,71.2,2006
USA,United States,78.5,2006
UZB,Uzbekistan,52.3,2006
VEN,Venezuela,74.1,2006
VNM,Viet Nam,54.3,2006
YEM,Yemen,45.2,2006
ZAF,South Africa,62,2006
ZMB,Zambia,54.4,2006
ZWE,Zimbabwe,63,2006
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
